fusion_id	tissue	gene1_tpm	gene2_tpm	log2_ratio	hotspot_status	hotspot_reason
ENSG00000255201::RALYL_i_i_30EFE4	Adipose_Subcutaneous	12.07	0.02	6.708	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Adipose_Visceral_Omentum	12.23	0	6.946	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Adrenal_Gland	1.17	10.24	-3.027	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Artery_Aorta	12.45	0.01	6.775	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Artery_Coronary	12.39	0.02	6.683	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Artery_Tibial	9.31	0.02	6.262	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Bladder	8.74	0	6.466	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Amygdala	1.06	10.98	-3.253	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Anterior_cingulate_cortex_BA24	1.18	22.37	-4.138	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Caudate_basal_ganglia	1.18	13.27	-3.388	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Cerebellar_Hemisphere	24.15	61.56	-1.346	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Cerebellum	29.76	39.43	-0.405	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Cortex	1.54	16.7	-3.361	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Frontal_Cortex_BA9	1.17	30.29	-4.578	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Hippocampus	1	9.64	-3.142	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Hypothalamus	0.94	24.48	-4.569	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Nucleus_accumbens_basal_ganglia	0.99	20.36	-4.234	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Putamen_basal_ganglia	0.65	9.14	-3.617	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Spinal_cord_cervical_c-1	1.18	3.05	-1.3	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Substantia_nigra	0.88	9.22	-3.255	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Breast_Mammary_Tissue	16.53	0.02	7.124	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Cells_Cultured_fibroblasts	8.31	0	6.394	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Cells_EBV-transformed_lymphocytes	0.76	0	3.098	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Cervix_Ectocervix	11.96	0	6.913	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Cervix_Endocervix	10.54	0.01	6.599	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Colon_Sigmoid	12.03	0.45	4.462	Hotspot	Upstream expressed; downstream silent; large ratio
